Defence,ARG,Anti-Defence,IME
1,1.1532691914705453e-10,8.240759512872425e-4,1.1847633314397896e-6
1.1532691914705453e-10,1,9.18134927942659e-6,1.2460338471319131e-5
8.240759512872425e-4,9.18134927942659e-6,1,2.3130822536135086e-8
1.1847633314397896e-6,1.2460338471319131e-5,2.3130822536135086e-8,1
